$GPGGA,135236.506,3454.931,N,07502.496,W,0,00,,,M,,M,,*54
$GPGGA,135237.506,3454.932,N,07502.495,W,0,00,,,M,,M,,*55
$GPGGA,135238.506,3454.934,N,07502.494,W,0,00,,,M,,M,,*5D
$GPGGA,135239.506,3454.935,N,07502.493,W,0,00,,,M,,M,,*5A
$GPGGA,135240.506,3454.937,N,07502.491,W,0,00,,,M,,M,,*54
$GPGGA,135241.506,3454.938,N,07502.490,W,0,00,,,M,,M,,*5B
$GPGGA,135242.506,3454.939,N,07502.489,W,0,00,,,M,,M,,*51
$GPGGA,135243.506,3454.941,N,07502.488,W,0,00,,,M,,M,,*5E
$GPGGA,135244.506,3454.943,N,07502.488,W,0,00,,,M,,M,,*5B
$GPGGA,135245.506,3454.944,N,07502.487,W,0,00,,,M,,M,,*52
$GPGGA,135246.506,3454.946,N,07502.486,W,0,00,,,M,,M,,*52
$GPGGA,135247.506,3454.947,N,07502.485,W,0,00,,,M,,M,,*51
$GPGGA,135248.506,3454.948,N,07502.484,W,0,00,,,M,,M,,*50
$GPGGA,135249.506,3454.949,N,07502.482,W,0,00,,,M,,M,,*56
$GPGGA,135250.506,3454.950,N,07502.480,W,0,00,,,M,,M,,*54
$GPGGA,135251.506,3454.951,N,07502.479,W,0,00,,,M,,M,,*52
$GPGGA,135252.506,3454.952,N,07502.477,W,0,00,,,M,,M,,*5C
$GPGGA,135253.506,3454.952,N,07502.476,W,0,00,,,M,,M,,*5C
$GPGGA,135254.506,3454.953,N,07502.474,W,0,00,,,M,,M,,*58
$GPGGA,135255.506,3454.954,N,07502.472,W,0,00,,,M,,M,,*58
$GPGGA,135256.506,3454.955,N,07502.471,W,0,00,,,M,,M,,*59
$GPGGA,135257.506,3454.956,N,07502.469,W,0,00,,,M,,M,,*52
$GPGGA,135258.506,3454.956,N,07502.467,W,0,00,,,M,,M,,*53
$GPGGA,135259.506,3454.955,N,07502.466,W,0,00,,,M,,M,,*50
$GPGGA,135300.506,3454.956,N,07502.464,W,0,00,,,M,,M,,*5C
$GPGGA,135301.506,3454.956,N,07502.462,W,0,00,,,M,,M,,*5B
